method,duration,bias,error,relArea,cost,tau_p,tau_v
KDE,1,-1783642.842,-0.9476,0.052412767,0.307290554,86164.091,3600
KDE,1,-1359001.828,-0.722,0.277986436,0.318758249,86164.091,3600
KDE,1,-1603509.221,-0.8519,0.148135917,0.123651743,86164.091,3600
KDE,1,-1734891.946,-0.9217,0.078310482,0.140669584,86164.091,3600
KDE,1,-1369354.335,-0.7275,0.272464373,0.304424286,86164.091,3600
KDE,1,-1513724.751,-0.8042,0.195793839,0.125548363,86164.091,3600
KDE,1,-1581674.842,-0.8403,0.159740523,0.125102043,86164.091,3600
KDE,1,-1749197.228,-0.9293,0.070743321,0.123284101,86164.091,3600
KDE,1,-1627225.873,-0.8645,0.135491939,0.303195715,86164.091,3600
KDE,1,-1584686.481,-0.8419,0.158145304,0.123419046,86164.091,3600
KDE,1,-1454621.347,-0.7728,0.227179797,0.111815214,86164.091,3600
KDE,1,-1757479.234,-0.9337,0.066321983,0.139624596,86164.091,3600
KDE,1,-1708163.655,-0.9075,0.092455368,0.110961437,86164.091,3600
KDE,1,-1672212.222,-0.8884,0.111573141,0.302806139,86164.091,3600
KDE,1,-1680117.772,-0.8926,0.107379018,0.322206736,86164.091,3600
KDE,1,-1593533.168,-0.8466,0.15342247,0.138058901,86164.091,3600
KDE,1,-1691223.189,-0.8985,0.101529005,0.113483667,86164.091,3600
KDE,1,-1785901.571,-0.9488,0.051175202,0.327390194,86164.091,3600
KDE,1,-1674282.723,-0.8895,0.110512031,0.139443159,86164.091,3600
KDE,1,-1146116.639,-0.6089,0.391095006,0.328899384,86164.091,3600
KDE,1,-1661671.487,-0.8828,0.117184471,0.12571311,86164.091,3600
KDE,1,-1411329.045,-0.7498,0.250151119,0.124832153,86164.091,3600
KDE,1,-1730939.17,-0.9196,0.080396778,0.307297945,86164.091,3600
KDE,1,-1694234.827,-0.9001,0.09988364,0.160804987,86164.091,3600
KDE,1,-1739597.631,-0.9242,0.075813537,0.325110674,86164.091,3600
KDE,1,-1787030.936,-0.9494,0.050569913,0.128263712,86164.091,3600
KDE,1,-1540829.496,-0.8186,0.18139093,0.123268127,86164.091,3600
KDE,1,-1543276.453,-0.8199,0.180131887,0.110940695,86164.091,3600
KDE,1,-1484737.731,-0.7888,0.211176559,0.123456478,86164.091,3600
KDE,1,-1368977.88,-0.7273,0.272732073,0.124950409,86164.091,3600
KDE,1,-1526524.214,-0.811,0.189035668,0.130701542,86164.091,3600
KDE,1,-1667694.764,-0.886,0.11395965,0.301294327,86164.091,3600
KDE,1,-1544970.499,-0.8208,0.17918879,0.306089401,86164.091,3600
KDE,1,-1817712.002,-0.9657,0.03429288,0.132499456,86164.091,3600
KDE,1,-1397023.763,-0.7422,0.257765154,0.317714453,86164.091,3600
KDE,1,-1723974.757,-0.9159,0.084125009,0.329522371,86164.091,3600
KDE,1,-1620826.141,-0.8611,0.138932701,0.138251066,86164.091,3600
KDE,1,-1578851.431,-0.8388,0.161219502,0.305644512,86164.091,3600
KDE,1,-1761243.782,-0.9357,0.064344372,0.124577045,86164.091,3600
KDE,1,-1566240.195,-0.8321,0.167866301,0.306158304,86164.091,3600
KDE,1,-1656777.575,-0.8802,0.119835648,0.12204814,86164.091,3600
KDE,1,-1752585.321,-0.9311,0.068892616,0.315102816,86164.091,3600
KDE,1,-1815829.728,-0.9647,0.035344628,0.119277,86164.091,3600
KDE,1,-1581863.07,-0.8404,0.159586424,0.131760359,86164.091,3600
KDE,1,-1510713.112,-0.8026,0.197357325,0.124123335,86164.091,3600
KDE,1,-1775737.292,-0.9434,0.056564129,0.326004982,86164.091,3600
KDE,1,-1627414.1,-0.8646,0.135378109,0.315940619,86164.091,3600
KDE,1,-1750326.593,-0.9299,0.070078205,0.327031851,86164.091,3600
KDE,1,-1769525.787,-0.9401,0.05987005,0.136466742,86164.091,3600
KDE,1,-1660918.578,-0.8824,0.11758872,0.304375172,86164.091,3600
